stationReference,value,stationName,latitude,longitude,maxOnRecord,minOnRecord,typicalRangeHigh,typicalRangeLow
2165,2.499,Gloucester,51.864982,-2.252201,4.9190000000000005,0.001,3.2,0.437
2169,1.992,Ludlow Corve,52.381603,-2.724237,4.976,0.709,2.4,0.771
2170,,Crudgington,52.754258,-2.534083,2.357,0.056,0.788,0.166
2175,4.805,Crew Green,52.735739,-2.994315,,,,
2180,2.225,Bridgnorth,52.534933,-2.415835,5.264,0.316,3.6,0.521
2180TH,1.325,Tidmarsh,51.468325,-1.08539,1.954,0.8220000000000001,1.56,1.072
2188,0.98,Leigh Court,51.926224,-2.197575,4.236,-0.04,1.3,0.071
2190TH,0.184,Pangbourne,51.484688,-1.087539,1.09,0.046,0.78,0.079
2195,0.813,Sharpness,51.717437,-2.482837,11.711,1.979,10.2,2.0
2195TH,0.236,Sulham,51.462237,-1.077263,1.061,0.003,0.4,0.032
2199TH,,Mapledurham Lock,51.486033,-1.039654,0.84,-0.343,0.3,0.017
2200,2.435,Wimpstone,52.141002,-1.689543,3.517,0.647,1.6,0.67
2200TH,,Reading,51.461325,-0.967884,7.413,6.297,7.0,6.579
2201TH,0.217,Caversham Lock,51.460811,-0.963635,1.021,-0.187,0.3,0.068
2204TH,0.229,Winterborne Monkton,51.450901,-1.859793,2.33,-0.16,1.105,0.0
2205,0.93,Brimscombe,51.724364,-2.200326,1.331,0.621,1.0,0.644
2206,0.33,Merrywalks LVL,51.746918,-2.217953,,,,
2207,1.189,Hall Green Road,52.440197,-1.475212,1.952,0.0,2.15,0.066
2209,0.892,Longford,52.446651,-1.487391,1.727,0.001,3.04,0.109
2210TH,0.049,Marlborough,51.416287,-1.732479,1.003,0.011,0.63,0.041
2213,0.912,"Hope Street, Coventry",52.40689,-1.522294,2.544,0.223,3.08,0.264
2215,0.866,Sir Henry Parkes Road,52.39358,-1.551005,1.437,0.144,2.73,0.202
2216,0.261,Torrington Avenue,52.396604,-1.591684,1.491,0.0,3.2,0.0
2218,0.68,Charterhouse Bridge,52.401988,-1.495801,2.008,0.111,1.93,0.153
2219TH,0.078,Poulton Farm,51.427238,-1.724504,0.812,0.005,0.857,0.047
2223,0.505,College Road,51.896062,-2.069746,1.442,0.064,1.2,0.0
2225,0.224,Bodiam Avenue,51.832287,-2.270144,1.105,-0.064,0.162,0.0
2226,0.225,Slad Road,51.747599,-2.214291,1.175,0.11,0.43,0.13
2227,0.266,Tenbury,52.309779,-2.59384,3.54,0.08,2.0,0.11
2228,0.72,Sutton Bridge,52.298087,-2.55805,4.231,0.45,3.0,0.47
2230TH,0.136,Knighton Main,51.437409,-1.576981,0.847,0.044,0.504,0.077
2232TH,0.013,Knighton Side,51.436872,-1.577706,0.653,-0.053,0.504,0.0
2239TH,0.067,Hungerford Dun,51.414788,-1.539372,0.307,0.034,0.19,0.053
2241TH,0.057,Hungerford Shalbourne,51.412847,-1.526019,1.078,0.031,0.6000000000000001,0.043
2250TH,1.02,Newbury,51.401605,-1.323874,1.49,0.742,1.35,0.941
2251TH,0.831,Lambourn,51.508084,-1.530219,1.43,0.653,1.2,0.7000000000000001
2254TH,0.564,Eastbury Flood Control Structure,51.497183,-1.511619,2.129,0.942,2.65,0.9
2255,0.156,Bosbury,52.08804,-2.446839,1.911,0.01,0.8,0.03
2258,1.009,The Causeway,51.824551,-2.297854,2.286,0.098,0.542,0.162
2261,0.808,Zoons Court,51.868901,-2.196147,2.426,0.127,0.844,0.168
2262,0.455,Zoons Court Flood Storage,51.868695,-2.195623,2.13,0.106,2.5,0.119
2264TH,0.05,Bagnor,51.422436,-1.350461,0.545,0.032,0.2,0.041
2265,1.103,Farley Bridge LVL,52.664358,-2.905911,,,,
2267,1.428,Puxton,52.394519,-2.253581,4.431,0.406,2.3,0.45
2268,0.541,Kingscroft Road,51.85196,-2.18652,1.727,0.301,2.0,0.02
2269,0.291,Shepherd Road,51.835524,-2.26623,1.03,0.067,1.0,0.055
2270,0.237,Field Court Drive,51.819013,-2.28698,0.934,0.0,1.0,0.0
2270_w1TH,1.072,Shaw,51.411884,-1.321048,2.1,1.256,2.044,1.29
2272,0.571,Armscroft Place,51.863183,-2.221361,1.194,0.0,1.5,0.005
2273,0.525,India Road,51.856617,-2.227456,0.717,0.114,1.0,0.143
2275,0.446,Egypt Mill,51.697286,-2.218553,0.638,0.11,1.5,0.273
2275TH,0.144,Kingsclere,51.325621,-1.249358,0.357,0.059,0.43,0.08
2276,0.38,Sandford Park LVL (Chelt),51.893887,-2.068696,,,,
2277,0.413,Cheyney Close,51.848593,-2.220433,1.072,-0.009,1.5,0.012
2279TH,,Brimpton,51.379146,-1.185549,1.819,0.033,1.34,0.081
2293TH,1.254,Beech Hill,51.385195,-1.002649,2.244,0.5640000000000001,2.0,0.619
2298TH,0.034,Blakes Lock,51.456172,-0.954614,0.802,-0.5,0.2,0.0
2301TH,0.143,Sonning Lock,51.473138,-0.917727,1.05,-0.1,0.257,0.068
2302TH,2.446,Shiplake Lock,51.501042,-0.886307,0.967,-0.18,0.3,0.006
2320,3.213,Lydbrook,51.85366,-2.578653,7.551,0.32,4.0,0.42
2321SO,0.6,Rainfall station,50.83729,-0.377415,,,,
237740TP,0.0,Rainfall station,51.600133,0.258985,,,,
238605TP,0.4,Rainfall station,51.722932,0.136235,,,,
238777TP,0.0,Rainfall station,51.736595,0.223782,,,,
238944TP,0.0,Rainfall station,51.677024,0.235326,,,,
239258TP,0.2,Rainfall station,51.664377,0.040933,,,,
239374TP,0.0,Rainfall station,51.575345,0.041271,,,,
239579TP,0.1,Rainfall station,51.527809,0.085279,,,,
2401TH,1.017,Pyotts Bridge,51.278294,-1.045224,1.447,0.975,1.35,0.95
240201TP,0.2,Rainfall station,51.884151,-0.454782,,,,
240350TP,0.2,Rainfall station,51.813497,-0.287465,,,,
240470TP,0.2,Rainfall station,51.775264,-0.196143,,,,
240662TP,0.0,Rainfall station,51.937159,-0.384591,,,,
2406TH,0.262,Chineham,51.296962,-1.056426,1.273,0.227,1.745,0.258
240816TP,0.3,Rainfall station,51.873475,-0.269208,,,,
2409TH,0.357,Longbridge Mill,51.3188,-1.019874,0.88,0.156,0.55,0.183
241243TP,0.0,Rainfall station,51.950719,-0.145455,,,,
241790TP,0.0,Rainfall station,51.871184,-0.064476,,,,
241961TP,0.0,Rainfall station,51.97304,-0.025147,,,,
2419TH,0.889,Tongham,51.237339,-0.736289,1.79,0.542,1.9,0.5630000000000001
2420_w1TH,0.321,Sheepbridge Weir Mill Stream,51.381826,-0.966655,1.36,0.016,0.75,0.157
2420_w2TH,0.277,Sheepbridge,51.381826,-0.966655,1.391,0.01,0.89,0.08
2421TH,,RIVER LODDON AT SHEEPBRIDGE FLUME,51.38187,-0.966582,,,,
2423TH,0.889,Cove Hazel Avenue,51.291321,-0.774462,1.65,0.14,1.83,0.18
2425,0.817,Bodiam Avenue Relief Channel,51.832287,-2.270144,2.482,-0.157,1.5,-0.001
242534TP,0.2,Rainfall station,51.807828,-0.03963,,,,
2427TH,0.981,Farnborough,51.29741,-0.739058,1.939,0.268,1.6,0.363
242819TP,0.0,Rainfall station,51.827809,0.054118,,,,
243045TP,0.2,Rainfall station,51.965517,0.147752,,,,
243131TP,0.0,Rainfall station,51.897439,0.182296,,,,
2431TH,1.501,Blackwater Bridge,51.330889,-0.775604,2.62,0.765,2.0,1.046
2432TH,1.18,Mayfield Road,51.306404,-0.772253,2.5700000000000003,0.483,2.0,0.795
243543TP,0.0,Rainfall station,51.866534,0.247617,,,,
2435TH,0.826,Eversley,51.356292,-0.888384,1.7000000000000002,0.5,1.4,0.601
243679TP,0.0,Rainfall station,51.805204,0.20975,,,,
244027TP,0.0,Rainfall station,51.769108,0.016666,,,,
2442TH,0.079,Lodge Farm,51.263973,-0.950093,0.623,0.02,0.439,0.097
244569TP,0.2,Rainfall station,51.727077,-0.10539,,,,
245176TP,0.0,Rainfall station,51.588712,-0.112596,,,,
2451TH,0.42,Crondall Pond,51.232867,-0.864146,1.19,-0.4,0.8,-0.35
2453TH,0.752,Redlands Lane,51.237321,-0.859739,1.63,0.51,1.1,0.6000000000000001
2455TH,0.54,Crookham Village,51.262934,-0.867562,1.4,0.343,1.36,0.358
2458TH,0.495,Bramshill,51.32671,-0.917374,1.81,0.054,1.325,0.095
246424TP,0.0,Rainfall station,51.501145,-0.205547,,,,
246726TP,0.0,Rainfall station,51.610639,-0.312441,,,,
246847TP,,Rainfall station,51.569374,-0.257694,,,,
2469_w1TH,0.512,Swallowfield,51.377564,-0.952526,1.481,0.064,0.95,0.189
2469_w2TH,,Swallowfield Side Channel,51.377564,-0.952526,1.687,0.126,0.728,0.189
247281TP,0.8,Rainfall station,51.67255,-0.366544,,,,
247344TP,0.8,Rainfall station,51.550032,-0.415648,,,,
2473TH,0.778,Arborfield Bridge,51.403467,-0.933245,1.392,0.102,1.192,0.278
247540TP,0.2,Rainfall station,51.479469,-0.451216,,,,
2481TH,-2.988,Sindlesham Mill,51.426522,-0.898188,1.454,0.052,0.56,1.19
248332TP,0.3,Rainfall station,51.672207,-1.952948,,,,
2486TH,0.757,Wokingham,51.40345,-0.836924,2.329,0.368,1.2,0.395
2490TH,1.885,Twyford,51.484806,-0.880942,3.43,0.233,2.255,0.504
2495TH,2.506,Marsh Lock,51.528776,-0.885703,1.633,-0.45,0.4,0.111
249744TP,0.3,Rainfall station,51.568666,-1.811661,,,,
2497TH,1.97,Hurley Lock,51.55135,-0.808421,0.516,-0.076,0.2,0.023
2499TH,2.511,Marlow Lock,51.567382,-0.769176,1.239,-0.022,0.449,0.06
2511,1.105,Windyridge Road,51.91699,-2.086745,1.461,0.17,0.618,0.22
2512,,Hucclecote,51.857643,-2.180344,1.607,0.063,2.0,0.074
2513,0.468,Eastington,51.753386,-2.322244,2.211,0.198,0.857,0.287
2514,1.091,Cam,51.699985,-2.360238,2.651,0.54,0.87,0.578
2515,0.854,Stoke Prior,52.306762,-2.076947,2.143,0.064,0.362,0.127
251530TP,0.0,Rainfall station,51.689762,-1.679516,,,,
251556TP,0.0,Rainfall station,51.826782,-1.862825,,,,
2516,0.916,Halesowen,52.462884,-2.061427,2.718,0.451,0.786,0.454
2531,1.202,Leominster Osbourne Place LVL,52.231172,-2.743719,,,,
2532,0.877,Leominster Upper Marsh LVL,52.233318,-2.73409,,,,
253340TP,0.0,Rainfall station,51.878717,-1.737736,,,,
253861TP,0.0,Rainfall station,51.794582,-1.562775,,,,
254336TP,0.0,Rainfall station,51.774757,-1.357157,,,,
2546TH,1.087,High Wycombe FD,51.627385,-0.748786,,,,
2548,0.166,Orleton Millbrook Way,52.300223,-2.751592,,,,
254829TP,0.0,Rainfall station,51.938474,-1.573015,,,,
2549,0.261,Slad Steanbridge Lane,51.767788,-2.179956,,,,
2550TH,0.135,Wycombe Wye,51.635466,-0.76901,0.609,-0.137,1.0,0.0
256230TP,0.0,Rainfall station,51.749085,-1.272057,,,,
256345TP,1.1,Rainfall station,52.168732,-1.235988,,,,
2569TH,0.05,Wycombe Hugh,51.635574,-0.753691,0.65,-0.375,0.255,-0.23
257039TP,0.1,Rainfall station,52.072227,-1.333928,,,,
2590TH,0.159,Bourne End Wye,51.571155,-0.708557,0.47,0.06,0.38,0.114
259110TP,0.1,Rainfall station,51.886777,-1.156503,,,,
2601TH,2.926,Cookham Lock,51.560993,-0.694635,1.464,-0.239,0.6000000000000001,0.0
260221TP,0.1,Rainfall station,51.63431,-1.505077,,,,
2602TH,2.869,Boulters Lock,51.532713,-0.699466,1.134,-0.217,0.3,0.0
2603,0.472,Cambridge,51.730432,-2.362218,1.375,0.032,1.25,0.141
2603TH,1.723,Taplow,51.529307,-0.697199,1.806,-0.026,3.21,1.0
2604TH,2.589,Maidenhead,51.524146,-0.702103,3.866,1.127,3.55,2.27
2606,4.472,Deerhurst,51.969234,-2.193572,6.382,0.364,4.492,0.502
2607,0.226,Bromsberrow LVL,51.996906,-2.373352,,,,
2607TH,3.0,Bray Lock,51.509305,-0.69032,1.608,-0.119,0.5,0.096
2608,0.458,Boreton Bridge LVL,52.65661,-2.716578,,,,
2609,1.472,Kites Hardwick,52.313513,-1.314911,2.512,-0.137,1.138,0.01
261021TP,0.0,Rainfall station,51.653876,-1.288038,,,,
2611,1.041,Stanford River LVL,52.417555,-1.126182,,,,
2613,1.284,Southam,52.260974,-1.408027,3.328,0.045,0.682,0.085
2613TH,2.002,Warfield,51.436318,-0.747222,2.962,1.67,2.9,1.719
2615,2.444,Bidford on Avon,52.164097,-1.857348,4.426,0.895,2.6,0.955
2616,4.874,Kempsey Yacht Club,52.158602,-2.219449,7.489,0.475,5.0,0.512
261602TP,0.8,Rainfall station,51.772802,-0.689041,,,,
2617,0.114,Chalford,51.723887,-2.130978,0.76,0.021,0.5,0.033
2618,2.77,Sandhurst,51.887415,-2.252167,5.376,0.34,3.0,0.515
2619,2.789,Sandhurst,51.887632,-2.251427,5.35,0.47,2.79,0.5700000000000001
261923TP,0.8,Rainfall station,51.825767,-0.852925,,,,
2620TH,0.233,Binfield,51.433827,-0.773574,1.018,-0.088,0.8150000000000001,0.125
2621,0.518,Henley River,52.29694,-1.777373,2.426,0.369,0.546,0.387
2625,1.927,Ludlow Teme,52.36409,-2.706474,5.223,0.834,3.0,0.856
2626,0.253,Feckenham,52.248746,-1.994455,2.465,0.047,1.25,0.074
2627,1.035,Kenilworth,52.352672,-1.567041,2.384,0.627,1.44,0.655
2629,0.509,Lydney,51.72971,-2.534804,1.343,0.101,0.7000000000000001,0.131
2634,0.781,Burford Bridge,52.311774,-2.625404,4.775,0.52,1.5,0.531
2635,0.028,Cox's Meadow Storage Area,51.890714,-2.066105,4.4,0.0,0.2,0.0
263541TP,0.0,Rainfall station,51.741752,-1.120101,,,,
2636,0.333,Mor Brook LVL,52.509532,-2.429445,,,,
2639,0.628,Dutlas,52.394857,-3.160345,2.535,0.001,0.6000000000000001,0.024
2641,0.53,Wightwick,52.582389,-2.192192,1.334,0.188,0.406,0.197
2642,3.006,Worcester (Barbourne),52.206967,-2.235272,5.791,0.487,3.35,0.548
264254TP,1.6,Rainfall station,51.617635,-1.115281,,,,
2644,1.009,Sandhurst Horn's Ditch,51.888033,-2.253216,3.927,-0.031,1.5,0.1
2646,1.898,Stanford Bridge,52.28899,-2.418688,6.075,0.151,1.367,0.221
2648,0.581,Toddington,51.999754,-1.952083,1.744,0.29,0.53,0.31
264845TP,0.0,Rainfall station,51.532367,-1.135676,,,,
2649,0.913,Clay Coton,52.387107,-1.128914,2.4130000000000003,0.002,1.36,0.031
2650,0.988,Arle,51.91358,-2.100884,2.976,0.109,0.662,0.343
265038TP,0.0,Rainfall station,51.543602,-1.343114,,,,
2653,0.329,Merestones Road,51.88594,-2.093645,2.75,0.04,0.32,0.08
2654,0.749,Cox's Flume,51.889602,-2.062354,2.167,0.176,1.3,0.24
265415TP,0.0,Rainfall station,51.465368,-1.197403,,,,
2655TH,0.077,Raymill Road,51.528985,-0.716959,1.467,0.13,1.3,0.161
2660,0.058,Prestbury Road,51.907359,-2.061419,0.32,0.0,0.05,0.0
2661,0.532,Witcombe,51.840037,-2.142115,1.757,0.337,0.356,0.113
2662,0.244,Abbeymead Avenue,51.840929,-2.202237,1.289,0.046,0.265,0.081
266474TP,0.0,Rainfall station,51.412945,-1.726028,,,,
2666,0.263,Matson Place,51.85211,-2.233328,,,,
2667,0.411,Bondend Road,51.834606,-2.193371,1.55,0.183,1.5,0.216
2669,0.393,Shifnal,52.67455,-2.379329,1.194,0.096,0.24,0.116
2670,-0.002,Saintbridge,51.848419,-2.217412,4.5,-0.107,0.042,-0.006
2671,0.537,Moorend Road,51.883138,-2.061691,1.737,0.27,0.49,0.3
267661TP,0.0,Rainfall station,51.388049,-1.53073,,,,
268103TP,0.0,Rainfall station,51.53833,-1.56235,,,,
268851TP,0.0,Rainfall station,51.462587,-1.327004,,,,
2694TH,1.107,The Binghams,51.506197,-0.710164,2.038,0.748,1.71,0.776
269627TP,0.0,Rainfall station,51.345161,-1.239706,,,,
2698TH,0.222,Romney Lock,51.491873,-0.604104,1.259,-0.195,0.5,0.096
2700,10.825,Abbey Mill GATE,51.991326,-2.162837,,,,
2700TH,79.938,Windsor Park,51.485795,-0.589124,5.724,-0.079,4.25,3.22
2702TH,,Bell Weir,51.438166,-0.537257,1.335,-0.067,0.3,0.08
2703TH,0.178,Old Windsor Lock,51.463198,-0.569077,1.941,-0.404,0.349,0.096
2705,0.226,Church Stretton,52.5405,-2.801605,0.59,-0.06,0.35,0.02
2705SO,1.3,Rainfall station,50.759531,-0.787028,,,,
2706,0.409,Wombourne LVL,52.531154,-2.204277,,,,
270669TP,0.2,Rainfall station,51.292403,-1.035495,,,,
2711,0.609,Sedgeberrow,52.04668,-1.963362,3.602,0.23,2.1,0.29
271491TP,0.0,Rainfall station,51.330311,-0.763419,,,,
274178TP,1.2,Rainfall station,51.667285,-0.923447,,,,
274918TP,0.0,Rainfall station,51.440044,-0.766213,,,,
276036TP,0.0,Rainfall station,51.54306,-0.500973,,,,
276316TP,0.2,Rainfall station,51.718037,-0.217242,,,,
276651TP,0.2,Rainfall station,51.755019,-0.285332,,,,
276956TP,0.0,Rainfall station,51.828295,-0.446536,,,,
277407TP,0.2,Rainfall station,51.686586,-0.341445,,,,
278744TP,0.0,Rainfall station,51.690006,-0.530846,,,,
279941TP,0.0,Rainfall station,51.396984,-0.540252,,,,
2802TH,0.197,Waxwell Lane,51.602909,-0.384264,1.173,0.073,1.0,0.148
2803TH,0.195,"Pinner, Avenue Road",51.597129,-0.381769,1.062,-0.033,1.2,0.025
2804TH,0.431,"Pinner, Eastcote Road",51.589297,-0.381167,2.537,0.115,1.2,0.288
2805TH,0.18,"Howletts Lane, Ruislip (Temporary)",51.58453,-0.439448,1.049,0.023,0.8200000000000001,0.023
2807TH,0.234,Ruislip,51.58043,-0.426065,1.833,0.13,1.2,0.136
280826TP,0.0,Rainfall station,51.226121,-0.774805,,,,
2808TH,0.281,Radlett,51.682315,-0.315607,1.602,0.006,1.574,0.3
2809TH,0.464,Mimmshall Brook,51.706896,-0.217824,1.799,0.904,1.8,0.151
2810TH,0.325,North Mymms,51.718066,-0.219123,2.351,-0.171,1.5,0.046
281186TP,0.0,Rainfall station,51.119894,-0.851916,,,,
2813TH,0.001,Markyate,51.838108,-0.461149,0.62,0.0,1.08,-0.018
2814TH,1.211,London Colney,51.719476,-0.289861,2.722,0.747,1.85,0.939
2815TH,0.089,Redbourn,51.794792,-0.393076,0.754,-0.228,0.6000000000000001,-0.138
2816TH,0.083,Redbourn,51.793132,-0.396615,0.994,-0.601,0.8,-0.247
2819TH,0.28,Colney Street,51.704664,-0.336052,0.56,0.002,0.539,0.064
2821TH,0.937,Borehamwood,51.668568,-0.287687,2.19,0.8240000000000001,1.8,0.8270000000000001
282290TP,0.0,Rainfall station,51.143947,-0.512508,,,,
282781TP,0.0,Rainfall station,51.256125,-0.566214,,,,
282947TP,0.1,Rainfall station,51.280335,-0.635718,,,,
2830,0.994,Hayes Basin,52.735118,-2.960681,4.13,0.96,0.97,0.91
2830TH,0.266,Watford,51.670654,-0.380235,1.69,0.014,0.8190000000000001,0.12
2831,4.287,Cae Howel,52.74738,-2.971662,6.265,0.893,4.779,0.933
2832,0.376,Maesbrook,52.779686,-3.037866,1.754,0.073,1.26,0.105
2833,3.262,Cae Howel,52.747481,-2.972523,,,,
283596TP,0.0,Rainfall station,51.341055,-0.599459,,,,
2841TH,0.17,"Hemel Hempstead, Bury Mill",51.757619,-0.475391,0.6950000000000001,0.013,0.8300000000000001,0.066
2844TH,0.711,"Hemel Hempstead, Old Fishery Lane",51.744674,-0.49654,1.798,0.539,1.99,0.639
2846TH,0.398,"Hemel Hempstead, Two Waters Road",51.741057,-0.47337,1.188,0.085,0.75,0.205
284703TP,0.2,Rainfall station,51.178085,-0.133707,,,,
2849TH,0.128,Croxley Green,51.645553,-0.436992,0.418,0.025,1.3,0.073
2852TH,0.342,Chesham,51.702625,-0.614039,0.678,0.295,0.7000000000000001,0.256
2854TH,0.17,Braybourne Close FD,51.553414,-0.479617,,,,
285630TP,0.0,Rainfall station,51.288167,-0.337196,,,,
2859TH,0.092,Rickmansworth,51.641989,-0.46125,0.368,0.037,0.39,0.059
2862TH,7.55,Moor Lane,51.635575,-0.443997,8.23,7.26,7.94,7.37
286392TP,0.0,Rainfall station,51.400709,-0.284238,,,,
2866TH,20.345,Wraysbury Offtake FD,51.477931,-0.504592,,,,
2870TH,0.174,Denham Colne,51.56631,-0.483905,0.608,0.052,0.56,0.11
287141TP,0.3,Rainfall station,51.362722,-0.209526,,,,
2872,1.283,Perdiswell,52.217941,-2.213213,7.276,0.779,2.4,0.874
287283TP,0.0,Rainfall station,51.449283,-0.224851,,,,
2873TH,0.115,Missenden,51.677124,-0.650282,0.459,-0.149,0.5,0.044
287451TP,0.0,Rainfall station,51.308021,-0.16144,,,,
287722TP,0.0,Rainfall station,51.344874,-0.103964,,,,
287864TP,0.0,Rainfall station,51.380452,-0.135546,,,,
287946TP,0.1,Rainfall station,51.415955,-0.162865,,,,
2879_w1TH,0.102,Denham Lodge,51.567599,-0.49112,0.465,0.002,0.6000000000000001,0.035
2879_w2TH,0.128,Denham Lodge,51.569085,-0.489873,,,,
288092TP,0.1,Rainfall station,51.4214,-0.109429,,,,
2880TH,0.894,Willowbank,51.559236,-0.484082,1.287,0.871,1.2,0.803
2881TH,0.647,"Uxbridge, Fountains Mill",51.549497,-0.482704,2.108,0.076,1.77,0.589
2882TH,0.434,"Iver, Clisbys Bridge",51.529235,-0.488741,1.402,0.211,0.8,0.274
2883TH,0.612,Farlows Bridge,51.518153,-0.498245,1.31,0.137,1.06,0.224
2884,0.319,Burlington Weir LVL,52.695461,-2.324363,,,,
288504TP,0.0,Rainfall station,51.349274,0.009666,,,,
2885TH,0.476,West Drayton,51.500923,-0.482762,0.771,0.324,1.0,0.389
2886TH,0.22,"Pinner, Moss Close",51.598796,-0.376829,0.977,0.058,0.94,0.175
2887TH,,"Ickenham, Swakeleys Road",51.565274,-0.452775,1.962,0.461,1.5,0.557
2888TH,0.863,"Uxbridge, Hercies Road",51.547893,-0.46447,3.782,0.403,1.7000000000000002,0.6910000000000001
2889TH,0.157,Uxbridge,51.533611,-0.47115,1.885,0.004,1.0,0.037
289102TP,0.0,Rainfall station,51.476541,-0.017866,,,,
2891TH,0.816,Yiewsley,51.509078,-0.47713,1.2,0.615,2.0,0.74
2892TH,1.664,Poyle,51.477287,-0.51406,2.527,1.445,1.8,0.101
2893TH,0.738,Stanwell Mill,51.466242,-0.501779,1.236,0.125,1.12,0.21
2894TH,0.705,Hythe End,51.440219,-0.535292,3.324,0.305,2.2,0.43
2895TH,0.191,Staines Moor,51.45237,-0.520468,0.889,0.022,0.53,0.055
2896TH,0.24,"Pound Mill, Staines",51.43615,-0.514892,0.847,0.014,0.84,0.059
2897BTH,0.167,Horton Mill,51.47174,-0.53123,0.405,0.076,0.42,0.12
2898,0.236,Wildmoor Flume,52.369692,-2.062663,0.729,0.0,0.273,0.085
2898TH,1.308,Staines Trading Estate,51.437123,-0.512241,1.717,1.024,2.0,1.133
2900,1.302,Walton,52.176016,-1.583205,3.492,0.111,1.38,0.189
290007TP,0.0,Rainfall station,51.507135,0.134772,,,,
2900TH,2.871,Staines,51.431611,-0.512248,4.955,0.414,4.0,2.7
2901TH,3.042,Penton Hook,51.414528,-0.499731,1.401,-0.183,0.3,0.076
290200TP,0.0,Rainfall station,51.280521,0.134285,,,,
2902TH,0.258,Chertsey Lock,51.390617,-0.48637,1.316,-0.084,0.402,0.131
2904TH,2.931,Shepperton Lock,51.382892,-0.458071,1.121,-0.16,0.3,0.076
290578TP,0.0,Rainfall station,51.367354,0.204407,,,,
291241TP,0.0,Rainfall station,51.367559,0.09523,,,,
291477TP,0.0,Rainfall station,51.458979,0.11237,,,,
2915,2.552,Eckington Sluice,52.062065,-2.124922,4.16,1.584,2.6,1.789
2927TH,0.767,Trumps Green,51.399312,-0.56131,2.073,0.615,1.7000000000000002,0.706
2928TH,0.818,Chertsey Bourne,51.402823,-0.539779,2.165,13.32,1.06,0.4
2935TH,,Norlands Lane,51.410875,-0.515797,1.6800000000000002,-0.02,1.1,0.3
2936TH,0.737,Guildford Street,51.389272,-0.506291,1.783,0.278,1.5,0.3
2937TH,1.489,Free Prae Road,51.386331,-0.501357,2.626,0.425,1.6,0.72
2941TH,0.818,Bagshot,51.361518,-0.689296,1.653,0.4,1.35,0.4
294323,0.0,Rainfall station,51.206865,0.129446,,,,
2966TH,1.001,Millbourne Bridge,51.349005,-0.602519,2.725,0.845,1.54,0.915
2976TH,0.392,Grants Bridge,51.344527,-0.604091,2.496,0.244,1.55,0.326
2989TH,1.367,Addlestone,51.374167,-0.478479,1.979,0.672,0.9,0.313
300001TP,0.0,Rainfall station,51.13979,-0.960059,,,,
300874,0.0,Rainfall station,51.373888,1.173263,,,,
3010TH,0.072,Alton High Street,51.149557,-0.976568,,,,
3012TH,0.064,Kings Pond,51.150372,-0.96697,0.562,-0.198,0.5,0.0
3014,0.0,Rainfall station,52.886657,-2.182004,,,,
3015,0.0,Rainfall station,52.808314,-1.74405,,,,
3015TH,,Caker Stream,51.140148,-0.959908,1.343,-0.306,0.52,0.0
301666,0.0,Rainfall station,51.131926,0.967934,,,,
3020TH,0.249,Farnham,51.209424,-0.803594,1.27,0.023,0.97,0.046
3025,0.0,Rainfall station,52.701554,-2.119078,,,,
3026,0.0,Rainfall station,52.79928,-2.275079,,,,
3028TH,1.188,Passfield Mill,51.101202,-0.825956,1.714,0.771,1.28,0.798
3029TH,0.866,Wey (South) at Huntingford Bridge,51.14197,-0.824708,,,,
3040TH,,Tilford,51.181979,-0.750222,2.086,0.099,1.4,0.139
305111,0.0,Rainfall station,51.098221,1.155768,,,,
3054TH,1.929,Westbrook Mill,51.188851,-0.617671,2.586,1.171,2.5,1.75
3056TH,0.824,Godalming RL,51.192355,-0.598504,,,,
3057,0.0,Rainfall station,52.730505,-1.571247,,,,
3057TH,4.392,River Wey at Unstead Sluice,51.19848,-0.584392,,,,
3061TH,1.655,Flash Bridge,51.121978,-0.510356,3.95,0.881,3.0,0.958
3065TH,1.455,Cranleigh,51.142186,-0.480399,3.378,1.204,2.33,1.229
3069TH,2.359,Bramley,51.206896,-0.57032,3.994,1.82,3.2,2.11
3073TH,0.978,Burpham,51.264494,-0.544883,2.089,0.768,1.059,0.841
3074TH,0.085,Albury,51.210841,-0.504627,0.339,0.03,0.293,0.054
3075TH,0.847,Send,51.287835,-0.505999,1.761,0.791,2.724,0.805
3078TH,,Hoe Stream at Woking,51.306994,-0.537112,,,,
3079TH,0.152,Shalford,51.220824,-0.569459,1.158,0.063,0.526,0.088
3080TH,12.215,Guildford,51.236036,-0.578011,3.884,0.804,2.6,1.1
3085TH,2.32,Old Woking,51.302063,-0.543308,3.94,1.0,3.2,1.0
3087TH,0.72,Woking South,51.294424,-0.57291,2.22,0.22,1.5,0.298
3089TH,1.297,Brooklands,51.346115,-0.465049,4.038,0.082,2.24,0.238
3090TH,1.119,Weybridge,51.37248,-0.466322,1.934,0.792,1.4,0.96
3096,0.0,Rainfall station,52.615214,-2.152813,,,,
3099,0.0,Rainfall station,52.807639,-1.889433,,,,
3100,0.0,Rainfall station,52.830414,-1.607371,,,,
3100TH,86.088,Walton,51.3919,-0.421389,4.398,-0.026,3.6,3.0
3101SE,0.695,Easton,51.088829,-1.2729,1.455,0.0,1.1,0.511
3101TH,0.065,Sunbury  Lock,51.399708,-0.4156,0.916,-0.168,0.3,0.055
3102TH,2.852,Molesey Lock,51.406476,-0.349558,1.029,-0.126,0.295,0.05
